1,Time,The way in which mugging was done and property looted,Latitude,Longitute,,,,,,,,,,,
169,12:00-15:00,Snatching by walk & escaping with bike,12.9132374998,77.5946588,,,,,,,,,,,
170,15:00-18:00,Snatching while on the move (Accused on bike) from back,12.940313,77.58401,,,,,,,,,,,
171,18:00-21:00,Snatching while on the move (Accused on bike) from front,12.9354625,77.55761923,,,,,,,,,,,
172,15:00-18:00,Snatching while on the move (Accused on bike) from front,12.89403507,77.55525426,,,,,,,,,,,
173,12:00-15:00,Snatching by walk & escaping with bike,12.5692,77.341419,,,,,,,,,,,
174,15:00-18:00,Attention diversion by indulging in small talk,12.555737,77.341932,,,,,,,,,,,
175,18:00-21:00,Snatching while on the move (Accused on bike) from back,12.95237894,77.57986571,,,,,,,,,,,
176,15:00-18:00,Snatching while on the move (Accused on bike) from front,12.552595,77.33476,,,,,,,,,,,
177,15:00-18:00,Snatching while on the move (Accused on bike) from back,12.552782,77.34165,,,,,,,,,,,
178,15:00-18:00,Snatching by walk & escaping with bike,12.89797466,77.56271434,,,,,,,,,,,
179,15:00-18:00,Snatching while on the move (Accused on bike) from back,12.91141981,77.56207686,,,,,,,,,,,
180,18:00-21:00,Snatching by walk & escaping with bike,12.940147,77.540774,,,,,,,,,,,
181,18:00-21:00,Snatching by walk & escaping with bike,12.93231816,77.55891202,,,,,,,,,,,
182,09:00-12:00,Snatching while on the move (Accused on bike) from back,12.9109144002,77.5935649003,,,,,,,,,,,
183,09:00-12:00,Snatching while on the move (Accused on bike) from back,12.564512,77.341933,,,,,,,,,,,
184,18:00-21:00,Snatching while on the move (Accused on bike) from front,12.9313019,77.55502782,,,,,,,,,,,
185,30.12.2014,42,Bajaj Pulsar,BLACK,,,,,,,,,,,
186,18:00-21:00,Snatching by walk & escaping with bike,12.9486433,77.57586657,,,,,,,,,,,
187,12:00-15:00,Snatching while on the move (Accused on bike) from back,12.564633,77.334608,,,,,,,,,,,
188,15:00-18:00,Snatching while on the move (Accused on bike) from back,12.900089,77.561877,,,,,,,,,,,
189,06:00-09:00,Snatching while on the move (Accused on bike) from back,12.562499,77.342241,,,,,,,,,,,
190,18:00-21:00,Snatching by walk & escaping with bike,12.908905,77.554094,,,,,,,,,,,
191,18:00-21:00,Snatching by walk & escaping with bike,12.553663,77.341398,,,,,,,,,,,
192,09:00-12:00,Snatching while on the move (Accused on bike) from back,12.563409,77.331935,,,,,,,,,,,
193,12:00-15:00,Attention diversion by indulging in small talk,12.561547,77.3432,,,,,,,,,,,
194,15:00-18:00,Attention diversion by indulging in small talk,12.922926,77.581653,,,,,,,,,,,
195,15:00-18:00,Snatching while on the move (Accused on bike) from front,12.921652,77.579288,,,,,,,,,,,
196,06:00-09:00,Attention diversion by indulging in small talk,12.9594654,77.57113375,,,,,,,,,,,
197,18:00-21:00,Accused was on foot,12.555522,77.324131,,,,,,,,,,,
198,15:00-18:00,Snatching by walk & escaping with bike,12.920838,77.584811,,,,,,,,,,,
199,18:00-21:00,Snatching by walk & escaping with bike,12.918973,77.575984,,,,,,,,,,,
200,12:00-15:00,Attention diversion by indulging in small talk,12.9361468443,77.586643896,,,,,,,,,,,
201,03:00-06:00,Attention diversion by indulging in small talk,12.95154815,77.57555399,,,,,,,,,,,
202,15:00-18:00,Accused was on foot,12.562614,77.34891,,,,,,,,,,,
203,21:00-00:00,Snatching while on the move (Accused on bike) from back,12.9114503,77.5789637498,,,,,,,,,,,
204,03:00-06:00,Snatching by walk & escaping with bike,12.88287492,77.5704189,,,,,,,,,,,
205,06:00-09:00,Snatching while on the move (Accused on bike) from front,12.932486,77.589626,,,,,,,,,,,
206,12:00-15:00,Snatching while on the move (Accused on bike) from back,12.9063499983,77.5902022,,,,,,,,,,,
207,21:00-00:00,Snatching while on the move (Accused on bike) from front,12.555485,77.325253,,,,,,,,,,,
208,12:00-15:00,Snatching while on the move (Accused on bike) from front,12.5645,77.335842,,,,,,,,,,,
209,06:00-09:00,Snatching with assault,12.56582,77.334108,,,,,,,,,,,
210,12:00-15:00,Attention diversion by indulging in small talk,12.9047713,77.5930591001,,,,,,,,,,,
211,09:00-12:00,Attention diversion by indulging in small talk,12.56983,77.34938,,,,,,,,,,,
212,09:00-12:00,Attention diversion by indulging in small talk,12.9114965002,77.5827609999,,,,,,,,,,,
213,18:00-21:00,Snatching while on the move (Accused on bike) from back,12.971599,77.594563,,,,,,,,,,,
